Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
100000	-0.13388541768330597	40.6	0.014405188668857675	11.689311356961968	-16.39681053161621	1.8364801	14.836087	-2.2393026	[0.01010376]
101000	-0.1367577749674726	43.6	0.10530572894151971	20.87678136111982	-16.466123580932617	4.8650465	14.3467455	-0.6867713	[0.01097941]
102000	-0.13081361586233747	45.8	0.05840087377375597	13.526270735128733	-16.212404251098633	5.1174917	15.045584	-1.3368475	[0.01036532]
103000	-0.12836226256718172	58.0	0.03533296858465646	4.0	-16.42841911315918	0.5567949	14.584034	-1.3001966	[0.01011158]
104000	-0.1019827917111525	39.2	0.1326608852604638	25.4825430442097	-16.445037841796875	0.4899463	14.550226	1.3613962	[0.00996708]
105000	-0.08844077517429516	44.2	0.05303583453202928	20.67268729507608	-16.288496017456055	0.6685958	14.880768	1.303427	[0.01051144]
106000	-0.11412515140407753	52.4	0.01930370691138193	13.749181793837769	-16.200305938720703	1.9449224	14.01889	-1.647991	[0.01102965]
107000	-0.15154051895760118	52.6	0.019934977470785046	10.229369482035539	-16.2099552154541	0.5603545	14.53847	-2.0507238	[0.00996977]
108000	-0.10198582997388017	41.8	0.08475820371318095	22.789471253190584	-16.208463668823242	1.3179275	15.177305	0.45249143	[0.00974824]
109000	-0.08199872649845694	41.6	0.0579930899963269	22.615039243830644	-16.411333084106445	0.6659188	15.130582	-1.7411286	[0.01015363]
110000	-0.1023309026002086	49.2	0.08920404790481934	21.599999999999998	-16.13234519958496	0.5097258	13.242117	-0.8585021	[0.00938473]
111000	-0.09524567602060208	45.2	0.11536885883053401	21.075103795711186	-16.345413208007812	3.628887	14.801119	0.3180362	[0.00981064]
112000	-0.08345341182348323	42.0	0.08105877660282079	22.485550916088314	-16.159217834472656	0.6358036	14.181297	0.35703385	[0.01065915]
113000	-0.10568259756892373	50.8	0.036232171837721455	18.400000000000002	-16.293651580810547	0.6982708	14.643165	-1.2052612	[0.01067881]
