Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	-51.95	38.0	-14.28	2046	3220	0.00879787117798136	0.07347295364175364	277586	6383	-12.852035522460938
150.0	-57.68	100.0	-34.94	2058	3240	0.00875426729520162	0.0730444244194106	279040	6383	-12.836291313171387
125.0	-0.35	82.0	-33.58	2074	3260	0.007245173117865814	0.07265314851344074	280390	6383	-12.804718017578125
150.0	-60.65	100.0	-40.71	2092	3280	0.008669539413801053	0.07224041989743189	281841	6383	-12.852400779724121
150.0	-88.66	81.0	-28.89	2105	3300	0.008646672422235662	0.07171436123004513	283736	6383	-12.831483840942383
150.0	-58.1	100.0	-35.1	2119	3320	0.00853439231952989	0.07124504835192418	285464	6384	-13.15960693359375
69.0	-0.39	67.0	-24.39	2132	3340	0.003923375592260304	0.07080641493477619	287113	6384	-13.165570259094238
150.0	-52.84	64.0	-19.31	2145	3360	0.008393805509521847	0.0703590157766395	288832	6384	-13.175253868103027
150.0	-45.68	84.0	-26.35	2157	3380	0.00836561607891286	0.0698062758477132	291014	6384	-13.187216758728027
150.0	-47.27	80.0	-24.43	2168	3400	0.008308515268213608	0.06935230143251783	292849	6385	-13.53031063079834
3.0	-0.11	100.0	-32.53	2180	3420	0.00016139996679205644	0.06894208847223574	294543	6385	-13.502470970153809
142.0	-0.24	65.0	-18.32	2191	3440	0.007735329589178396	0.06850398935197294	296395	6385	-13.501352310180664
82.0	-0.34	72.0	-25.51	2206	3460	0.0044602156374495844	0.06811764543850815	298063	6385	-13.536096572875977
150.0	-64.6	100.0	-36.62	2218	3480	0.008159190347824974	0.06772119444458252	299813	6385	-13.525652885437012
53.0	-0.23	81.0	-37.79	2232	3500	0.002820418357849121	0.067356834523414	301455	6386	-13.783482551574707
108.0	-0.4	100.0	-36.49	2245	3520	0.005778418345884843	0.06694925448179714	303336	6386	-13.818205833435059
56.0	-0.32	64.0	-22.93	2253	3540	0.003021465856476692	0.0664475059129817	305720	6386	-13.810675621032715
150.0	-42.95	100.0	-38.67	2263	3560	0.007990871453553103	0.06605626071928944	307626	6387	-14.200491905212402
16.0	-0.25	66.0	-22.04	2279	3580	0.0008600065162061979	0.06572200541014234	309289	6387	-14.148089408874512
150.0	-45.78	65.0	-15.81	2291	3600	0.007848745783170064	0.06537989826789403	311029	6387	-14.200494766235352
150.0	-66.16	74.0	-23.07	2307	3620	0.007841903004198443	0.06511422494161039	312403	6387	-14.186030387878418
7.0	-0.13	100.0	-27.76	2321	3640	0.0003727356156150063	0.06482679993246132	313919	6387	-14.184831619262695
3.0	-0.08	100.0	-36.03	2335	3660	0.00018681150967957542	0.06451777628836966	315584	6388	-14.510782241821289
4.0	-0.04	100.0	-36.15	2348	3680	0.00022043987460758374	0.06421768126412272	317235	6388	-14.522496223449707
150.0	-61.4	65.0	-22.11	2359	3700	0.007669613039171373	0.06387687588599214	319156	6388	-14.501734733581543
128.0	-0.43	100.0	-40.29	2375	3720	0.006516532039129606	0.06361859787632843	320639	6388	-14.477835655212402
95.0	-0.36	100.0	-37.18	2384	3740	0.004784932748519163	0.06326592675040456	322718	6389	-14.882222175598145
150.0	-57.03	82.0	-28.85	2397	3760	0.007493116120074658	0.06302162386066121	324185	6389	-14.887450218200684
141.0	-0.26	53.0	-16.31	2412	3780	0.006981738156111783	0.06272952183090935	325980	6389	-14.868733406066895
3.0	-0.11	35.0	-13.99	2425	3800	0.00018740114412809674	0.0624897879883819	327481	6389	-14.83922004699707
112.0	-0.41	81.0	-36.12	2436	3820	0.005500818422327491	0.062167869736506315	329550	6389	-14.84546947479248
85.0	-0.4	80.0	-31.77	2452	3840	0.004178613238036632	0.06192722794966442	331128	6390	-15.208602905273438
86.0	-0.39	80.0	-26.63	2462	3860	0.0042269116856273594	0.06161545279941375	333227	6390	-15.150657653808594
45.0	-0.22	69.0	-30.28	2473	3880	0.002220808783757318	0.06135688138328305	335008	6390	-15.12182331085205
150.0	-34.84	73.0	-28.28	2484	3900	0.007326655938075139	0.06111614826179596	336702	6390	-15.176899909973145
101.0	-0.32	40.0	-14.63	2500	3920	0.004875141017291011	0.06090707159964832	338201	6391	-15.438542366027832
150.0	-41.96	100.0	-31.41	2510	3940	0.007182939585090289	0.06065667386077932	340039	6391	-15.521052360534668
2.0	-0.04	80.0	-27.93	2521	3960	0.0001155312013144445	0.060396938101525494	341993	6391	-15.463955879211426
134.0	-0.33	60.0	-27.52	2532	3980	0.007093450591791815	0.06011732043333498	344154	6391	-15.520853996276855
150.0	-56.28	71.0	-29.37	2545	4000	0.007917523741722107	0.059928022850132955	345645	6392	-15.858133316040039
