Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
53000	-0.4103202326860407	60.0	0.10688108257432925	0.0	0.0	0.21471925	-2.929645e-19	-145.41585	-1.3820174
54000	-0.34410553918093306	60.0	0.08353631845928265	0.0	0.0	0.20733972	-1.06626457e-19	-148.14519	-1.3671877
55000	-0.35506634554747385	60.0	0.1205058790401773	0.0	0.0	0.2216973	-3.8672164e-20	-150.67235	-1.3484867
56000	-0.33103165783744826	60.0	0.11235551935065718	0.0	0.0	0.21635929	-1.4636862e-20	-155.79015	-1.3869731
57000	-0.25918151055919725	60.0	0.07602485766778125	0.0	0.0	0.19692113	-4.9261324e-21	-153.6101	-1.2685366
58000	-0.2881093869365915	60.0	0.06489376487987783	0.0	0.0	0.2097241	-1.9280962e-21	-160.75891	-1.3493946
59000	-0.3293461199839768	60.0	0.026206289841301845	0.0	0.0	0.19544643	-6.977865e-22	-163.0509	-1.3277969
60000	-0.32524351969657234	60.0	0.038165357679037996	0.0	0.0	0.23477545	-2.5472647e-22	-165.85876	-1.3174062
61000	-0.37463165600798104	60.0	0.12041507342910575	0.0	0.0	0.18482777	-1.00366767e-22	-173.97404	-1.4114673
62000	-0.333954368364464	60.0	0.06697815828546747	0.0	0.0	0.22738805	-3.3320932e-23	-170.21216	-1.2735217
63000	-0.28892550656823723	60.0	0.05915572201848829	0.0	0.0	0.23134762	-1.329916e-23	-179.18767	-1.3811386
64000	-0.28595306791439495	60.0	0.0695838418839703	0.0	0.0	0.18601489	-4.6651747e-24	-179.08826	-1.3166924
65000	-0.3240145666393003	60.0	0.07034877694446183	0.0	0.0	0.22896403	-1.7146434e-24	-182.32999	-1.315336
66000	-0.2596429216347852	60.0	0.03615409373639581	0.0	0.0	0.20509282	-6.460371e-25	-187.41005	-1.3468637
67000	-0.27703729317243936	60.0	0.08499177757850482	0.0	0.0	0.19047038	-2.3184213e-25	-188.88788	-1.3140626
68000	-0.0368844478602687	48.2	0.5238787284132649	23.599999999999998	0.0	0.20610483	-8.876032e-26	-195.31827	-1.3677859
69000	-0.39415849006628106	60.0	0.06963694492688016	0.0	0.0	0.25354034	-3.197731e-26	-197.02325	-1.3395958
70000	-0.29170758694000554	60.0	0.05013120512972161	0.0	0.0	0.17883416	-1.2512481e-26	-205.45856	-1.4245425
71000	-0.3268607161738214	60.0	0.1004418010467545	0.0	0.0	0.17534012	-4.0763293e-27	-198.91066	-1.2610676
72000	-0.3171478210849407	60.0	0.07853173470370926	0.0	0.0	0.204278	-1.6030275e-27	-207.5583	-1.3479581
