Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	80.0	-79.8	238	1120	0.0007367466177259172	0.5148019261103988	40919	6257	-18.307029724121094
50.0	-50.0	28.0	-26.2	243	1140	0.0007057698149430125	0.5101598133553386	41702	6257	-20.178489685058594
50.0	-50.0	100.0	-100.0	248	1160	0.0007509363108667834	0.5051030375576867	42566	6257	-19.87766456604004
50.0	-50.0	100.0	-100.0	256	1180	0.0006814762697381488	0.5009691120595092	43276	6257	-18.460134506225586
50.0	-50.0	100.0	-100.0	258	1200	0.0006802050272623698	0.49581824631322513	44175	6257	-19.740694046020508
50.0	-50.0	81.0	-80.2	266	1220	0.0006519997706178759	0.4915864671640452	44918	6257	-19.760028839111328
50.0	-50.0	84.0	-83.8	274	1240	0.0006412631080996606	0.487723025939982	45601	6258	-23.912460327148438
50.0	-50.0	80.0	-79.8	278	1260	0.000652211620694115	0.4826693668994894	46510	6258	-22.090709686279297
50.0	-50.0	63.0	-62.6	283	1280	0.0006253991276025772	0.47769009212412833	47416	6258	-23.12865447998047
8.0	-0.75	100.0	-100.0	288	1300	0.00010185535137469953	0.47349273085100535	48185	6258	-23.081308364868164
50.0	-50.0	100.0	-100.0	290	1320	0.0006155526999271278	0.4684987275756316	49114	6258	-21.11509132385254
50.0	-50.0	81.0	-80.4	294	1340	0.0006051620440696603	0.46365667795669946	50025	6258	-21.65958595275879
1.0	1.0	100.0	-100.0	296	1360	1.72802630592795e-05	0.4589166516113608	50927	6258	-23.45286750793457
50.0	-50.0	82.0	-81.4	302	1380	0.000587112143419791	0.4547567824228746	51725	6258	-21.6897029876709
1.0	1.0	61.0	-60.2	307	1400	1.3116257531302317e-05	0.4504389616336285	52563	6259	-28.315534591674805
50.0	-50.0	80.0	-79.8	310	1420	0.0005917169678379112	0.4457959693183555	53476	6259	-24.43692398071289
50.0	-50.0	81.0	-80.4	319	1440	0.0005701944231986999	0.44252445832481424	54120	6259	-25.828216552734375
50.0	-50.0	100.0	-100.0	323	1460	0.0005978776984018822	0.4381090471470466	55005	6259	-25.940521240234375
50.0	-50.0	100.0	-100.0	326	1480	0.0005581784892726588	0.4337433038446312	55890	6259	-25.858078002929688
50.0	-50.0	100.0	-100.0	330	1500	0.0005480036735534668	0.4296021951377115	56738	6259	-24.435911178588867
50.0	-50.0	65.0	-64.2	333	1520	0.0005517252181705675	0.42529930319742	57630	6259	-24.303722381591797
50.0	-50.0	100.0	-100.0	338	1540	0.0005410135566414177	0.4213374988497237	58459	6259	-26.274097442626953
50.0	-50.0	82.0	-81.8	343	1560	0.0005326298566964956	0.4172705792211225	59320	6259	-26.015216827392578
50.0	-50.0	100.0	-100.0	346	1580	0.0005095605608783191	0.413225498536447	60186	6260	-28.985076904296875
50.0	-50.0	82.0	-81.6	349	1600	0.0005297641456127167	0.4091710902532735	61064	6260	-28.37148094177246
50.0	-50.0	100.0	-100.0	355	1620	0.0004954769287580325	0.4054284095950863	61882	6260	-28.08843421936035
50.0	-50.0	82.0	-81.6	360	1640	0.0004981071483798143	0.40161043693444887	62726	6260	-28.08856773376465
13.0	-0.85	100.0	-100.0	365	1660	0.00013257537979677499	0.39789870140530104	63555	6260	-28.095203399658203
50.0	-50.0	81.0	-80.2	368	1680	0.0004988264469873337	0.39366723513837437	64514	6260	-28.001249313354492
50.0	-50.0	65.0	-64.2	371	1700	0.0004950893626493566	0.38975044047022933	65411	6260	-27.718412399291992
50.0	-50.0	68.0	-67.4	372	1720	0.00048215389251708983	0.385563547393394	66383	6260	-28.035964965820312
50.0	-50.0	69.0	-68.4	375	1740	0.0004778056309140962	0.3818179083026231	67261	6260	-27.97904396057129
