Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Average q-value evaluation
60.0	-0.7	49.0	-0.38	1105	6520	0.00010707338163457765	0.06618421443325315	346844	-12.57066535949707
60.0	-1.33	51.0	-0.68	1110	6560	0.00010859195779009563	0.06578480014083765	349053	-12.606595039367676
60.0	-0.97	45.0	-0.4	1120	6600	0.00010380611275181625	0.06542246539613748	351103	-12.634787559509277
60.0	-1.42	60.0	-1.39	1127	6640	0.00010458169931388763	0.06505439059924269	353237	-12.658954620361328
60.0	-1.33	51.0	-0.64	1136	6680	0.00010560447584369225	0.06469395742105624	355378	-12.688021659851074
60.0	-0.87	60.0	-1.14	1142	6720	0.00010539726132438296	0.06433960426737398	357535	-12.719785690307617
60.0	-1.16	60.0	-1.04	1148	6760	9.965896606445312e-05	0.06400219533916385	359638	-12.742974281311035
60.0	-0.94	50.0	-0.62	1154	6800	0.00010061744381399715	0.06366209538928581	361811	-12.776834487915039
60.0	-1.02	50.0	-0.43	1161	6840	0.00010117654911955894	0.06332877508503766	363994	-12.798174858093262
60.0	-1.17	51.0	-0.68	1168	6880	9.668777848398962e-05	0.06301500621732556	366098	-12.832321166992188
55.0	-0.0	45.0	-0.37	1174	6920	9.504790940036663e-05	0.06269592142095003	368292	-12.856795310974121
60.0	-1.5	54.0	-0.85	1180	6960	0.00010491311550140381	0.06238851313034212	370458	-12.884284019470215
60.0	-1.32	49.0	-0.68	1192	7000	0.00010004469326564244	0.062109654368409234	372467	-12.910861015319824
60.0	-1.18	47.0	-0.37	1197	7040	0.00010415925221009689	0.0618163101587066	374634	-12.936775207519531
60.0	-1.11	60.0	-0.96	1205	7080	9.017273531121723e-05	0.06154135127929491	376713	-12.964123725891113
60.0	-1.3	48.0	-0.68	1213	7120	9.466128402881408e-05	0.0612645268554057	378858	-12.98632526397705
60.0	-1.5	60.0	-1.14	1219	7160	9.623616101355526e-05	0.06099287637340338	381015	-13.01220417022705
60.0	-0.74	60.0	-0.98	1225	7200	9.797493616739909e-05	0.0607295650093428	383157	-13.036102294921875
60.0	-0.78	52.0	-0.67	1232	7240	9.814672048579263e-05	0.06047174621751887	385306	-13.062254905700684
60.0	-0.83	53.0	-0.85	1240	7280	9.752253254691323e-05	0.06023648779191734	387311	-13.084677696228027
6.0	0.16	49.0	-0.59	1253	7320	8.367189292699262e-06	0.06001507947857557	389239	-13.106389045715332
60.0	-0.73	56.0	-0.74	1258	7360	9.552120514537978e-05	0.05976693807434644	391457	-13.126982688903809
60.0	-1.11	53.0	-0.48	1262	7400	9.496076686962231e-05	0.05952272258683174	393696	-13.152338027954102
60.0	-0.78	55.0	-0.69	1268	7440	9.195945596182218e-05	0.05929183771269926	395865	-13.17841625213623
60.0	-1.15	53.0	-0.83	1275	7480	9.176549427012071e-05	0.059064536233871194	398054	-13.204215049743652
60.0	-1.2	60.0	-0.89	1280	7520	9.422438575866374e-05	0.05884191087969391	400252	-13.2257661819458
60.0	-1.01	53.0	-0.88	1285	7560	8.682375231747904e-05	0.058623794959995305	402460	-13.242932319641113
60.0	-1.45	52.0	-0.45	1292	7600	8.954452840905441e-05	0.05841676237582077	404607	-13.268997192382812
60.0	-0.96	52.0	-0.72	1301	7640	9.190112508404318e-05	0.05822657430186248	406624	-13.292941093444824
60.0	-1.57	43.0	-0.32	1307	7680	9.485005090634027e-05	0.05802408352975994	408827	-13.313204765319824
60.0	-0.97	60.0	-1.16	1313	7720	9.179245004999822e-05	0.05782936018928309	410998	-13.342608451843262
60.0	-1.01	48.0	-0.78	1321	7760	8.110336421691265e-05	0.05764522136072247	413100	-13.360325813293457
60.0	-1.22	55.0	-0.73	1329	7800	8.93708987113757e-05	0.057468317076639255	415167	-13.383404731750488
60.0	-0.99	53.0	-0.72	1334	7840	8.368242760093845e-05	0.0572841664725191	417374	-13.405943870544434
60.0	-1.24	41.0	-0.35	1344	7880	8.866066860063427e-05	0.0571193336122752	419394	-13.425270080566406
60.0	-0.85	55.0	-0.76	1350	7920	8.68200051664102e-05	0.056945254160399965	421582	-13.449188232421875
60.0	-1.27	52.0	-0.61	1353	7960	8.840866424330515e-05	0.05677008828366359	423841	-13.473215103149414
60.0	-0.99	53.0	-0.76	1361	8000	8.667117357254029e-05	0.05660645671252606	426003	-13.494620323181152
60.0	-1.06	60.0	-1.06	1365	8040	8.672920625601242e-05	0.05644112372369248	428244	-13.512471199035645
60.0	-1.05	60.0	-0.96	1373	8080	8.439586894346936e-05	0.05628984450539798	430343	-13.526480674743652
60.0	-1.14	53.0	-0.5	1383	8120	8.254039463738502e-05	0.05614792193064512	432357	-13.547403335571289
60.0	-1.46	43.0	-0.22	1393	8160	8.7203582127889e-05	0.056011271856191085	434340	-13.56737995147705
60.0	-0.98	52.0	-0.66	1403	8200	9.055123096559106e-05	0.05586813196813081	436469	-13.585850715637207
60.0	-1.13	54.0	-0.77	1409	8240	8.708658148941485e-05	0.055727700419708995	438609	-13.605117797851562
60.0	-1.35	60.0	-0.95	1416	8280	8.652668068374413e-05	0.055583304435894064	440867	-13.623054504394531
60.0	-0.94	54.0	-0.53	1423	8320	8.547526712601001e-05	0.055451808893091474	442972	-13.636713981628418
60.0	-1.56	53.0	-0.43	1436	8360	8.145890167455354e-05	0.05532950611059252	444974	-13.654512405395508
60.0	-1.34	60.0	-1.1	1443	8400	7.933293070111956e-05	0.05520312065583893	447094	-13.671948432922363
60.0	-0.94	60.0	-0.98	1448	8440	7.979954588469736e-05	0.05507318934936837	449330	-13.691307067871094
60.0	-0.75	48.0	-0.63	1453	8480	8.223183312506046e-05	0.054951176565680444	451481	-13.704924583435059
60.0	-0.95	57.0	-0.66	1460	8520	8.455696799945384e-05	0.05483311846880326	453613	-13.724926948547363
60.0	-1.15	60.0	-1.1	1469	8560	7.906851367415669e-05	0.05471950072854062	455714	-13.745307922363281
60.0	-1.15	60.0	-0.97	1478	8600	8.02077526269957e-05	0.05460916844754248	457803	-13.762369155883789
60.0	-1.2	26.0	0.39	1484	8640	7.819759624975699e-05	0.0544929707828983	460061	-13.774972915649414
4.0	0.25	55.0	-0.7	1496	8680	4.692396260626305e-06	0.05439359351506858	462034	-13.790956497192383
60.0	-0.95	39.0	0.14	1506	8720	8.264700753973165e-05	0.05429412350210639	464055	-13.80667781829834
60.0	-1.08	60.0	-1.09	1518	8760	7.71601722665029e-05	0.0541966723139224	466081	-13.826539993286133
7.0	0.14	41.0	-0.12	1527	8800	8.893717419017445e-06	0.05409947358558198	468150	-13.843515396118164
60.0	-0.87	47.0	-0.49	1530	8840	8.183480387899132e-05	0.053994527256297276	470444	-13.858065605163574
60.0	-0.0	50.0	-0.47	1539	8880	8.140093571430929e-05	0.053900796620441935	472541	-13.87437629699707
37.0	0.01	60.0	-1.25	1546	8920	4.722842186555734e-05	0.05380537342560695	474730	-13.889596939086914
60.0	-1.14	60.0	-1.05	1554	8960	8.138631071363177e-05	0.053717154929243824	476801	-13.896397590637207
60.0	-1.29	60.0	-1.12	1561	9000	7.820868492126465e-05	0.053627916700094314	478948	-13.920825004577637
60.0	-0.75	60.0	-0.99	1567	9040	7.752211747971256e-05	0.05353975873796735	481122	-13.932581901550293
60.0	-1.1	54.0	-0.99	1573	9080	7.78431146680521e-05	0.05345454897166109	483275	-13.948582649230957
60.0	-1.15	60.0	-0.95	1579	9120	8.358082227539598e-05	0.05337037912613458	485455	-13.968289375305176
60.0	-1.48	60.0	-1.1	1584	9160	7.100888735342234e-05	0.05328858891549179	487626	-13.98188304901123
60.0	-1.04	48.0	-0.61	1593	9200	7.766285668248716e-05	0.05321181548682019	489712	-13.984946250915527
60.0	-0.83	60.0	-0.96	1601	9240	7.81208663791805e-05	0.05313519666771255	491845	-14.007682800292969
5.0	0.19	55.0	-0.75	1606	9280	4.449512424140141e-06	0.053058773832304916	494026	-14.019540786743164
60.0	-0.88	51.0	-0.87	1616	9320	7.19089620614768e-05	0.0529846117841268	496195	-14.037236213684082
60.0	-1.03	60.0	-0.98	1618	9360	7.333882853516147e-05	0.05290827049157798	498487	-14.0521240234375
60.0	-1.03	60.0	-1.05	1628	9400	7.717053940955628e-05	0.05284384944195866	500463	-14.069084167480469
60.0	-1.53	50.0	-0.65	1638	9440	7.15936392040576e-05	0.05277826112771821	502523	-14.081740379333496
60.0	-1.1	60.0	-0.99	1645	9480	7.443430554514696e-05	0.05270978604832577	504729	-14.091241836547852
60.0	-0.91	53.0	-0.66	1655	9520	7.014432374168844e-05	0.052646642630937455	506811	-14.114153861999512
3.0	0.33	50.0	-0.66	1663	9560	3.0378916273555997e-06	0.05258543017223928	508877	-14.118240356445312
60.0	-1.02	60.0	-1.27	1669	9600	7.120981812477112e-05	0.05252324926184513	511028	-14.140291213989258
60.0	-0.83	60.0	-1.24	1674	9640	7.239167126382535e-05	0.052460239177161715	513264	-14.15381908416748
60.0	-1.7	46.0	-0.49	1679	9680	7.338188896494463e-05	0.05240034896114688	515442	-14.169772148132324
60.0	-0.87	60.0	-1.06	1686	9720	7.225137679174603e-05	0.05234204677769622	517615	-14.18230152130127
18.0	0.04	42.0	-0.15	1694	9760	2.209097146987915e-05	0.05228686250715038	519721	-14.19547176361084
25.0	0.03	32.0	0.08	1702	9800	2.6564622411922534e-05	0.05223220950651459	521858	-14.212359428405762
60.0	-1.12	50.0	-0.6	1710	9840	6.77908096856218e-05	0.05217910474987967	523985	-14.21900463104248
13.0	0.07	52.0	-0.72	1719	9880	1.5138855829895267e-05	0.05212955732026955	526015	-14.236701965332031
59.0	0.0	50.0	-0.64	1725	9920	7.117965048359287e-05	0.052078455850349314	528161	-14.253213882446289
60.0	-1.01	60.0	-1.0	1731	9960	6.688986437387734e-05	0.05202788201299499	530338	-14.261367797851562
60.0	-1.67	48.0	-0.38	1740	10000	6.363234519958496e-05	0.05198104649591684	532401	-14.275583267211914
51.0	-0.0	32.0	0.08	1746	10040	4.6406822850504716e-05	0.05193282138687977	534579	-14.287111282348633
60.0	-1.53	47.0	-0.22	1754	10080	6.41634776478722e-05	0.05188694396697111	536701	-14.30113697052002
60.0	-0.82	56.0	-0.99	1760	10120	6.179508013216403e-05	0.05184250348839362	538806	-14.310032844543457
60.0	-0.96	60.0	-1.05	1767	10160	6.893819242011844e-05	0.05179982944032927	540875	-14.324681282043457
60.0	-0.81	60.0	-1.03	1770	10200	7.090337136212517e-05	0.05175486495465033	543112	-14.334177017211914
60.0	-0.83	60.0	-1.07	1780	10240	6.583831273019314e-05	0.051715840445304515	545096	-14.3421049118042
60.0	-0.87	60.0	-1.05	1788	10280	7.386926547098716e-05	0.051675969669668975	547172	-14.353965759277344
60.0	-0.82	60.0	-0.94	1794	10320	6.871327411296756e-05	0.05163486228542941	549367	-14.362261772155762
5.0	0.2	45.0	-0.4	1803	10360	5.2873232189752885e-06	0.05159733457500383	551417	-14.375529289245605
17.0	0.05	42.0	-0.29	1806	10400	1.7713743906754713e-05	0.0515572213017025	553666	-14.385851860046387
60.0	-0.83	47.0	-0.45	1814	10440	6.552592091176702e-05	0.05152029290378276	555786	-14.398086547851562
60.0	-0.99	60.0	-1.03	1820	10480	6.609281510797166e-05	0.05148272378846203	557998	-14.40758228302002
60.0	-1.07	49.0	-0.46	1825	10520	6.42910203099704e-05	0.05144537627099209	560254	-14.414891242980957
