Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	81.0	-80.6	2512	13100	6.294703665580458e-05	0.05055464547644937	567415	6334	-159.58694458007812
50.0	-50.0	84.0	-83.6	2516	13120	6.331045453141376e-05	0.05054857780955851	568275	6334	-155.71336364746094
50.0	-50.0	85.0	-84.8	2519	13140	6.458104291825896e-05	0.050542373093201594	569165	6334	-156.1925048828125
14.0	-0.86	100.0	-100.0	2521	13160	1.7717670887074573e-05	0.05053619833921136	570061	6335	-159.4932098388672
50.0	-50.0	83.0	-82.4	2525	13180	6.657654309308946e-05	0.05053027944826296	570929	6335	-157.19656372070312
26.0	-0.92	77.0	-76.4	2527	13200	3.4054481621944545e-05	0.0505238493423945	571885	6335	-159.48721313476562
50.0	-50.0	88.0	-86.8	2535	13220	6.457251607920867e-05	0.05051855268268946	572678	6335	-163.2495574951172
50.0	-50.0	100.0	-100.0	2538	13240	6.444320938018153e-05	0.05051279011477791	573552	6335	-162.49908447265625
50.0	-50.0	82.0	-81.8	2539	13260	6.402009932343956e-05	0.05050646444736777	574525	6335	-162.0889434814453
50.0	-50.0	83.0	-82.2	2541	13280	6.199191851788256e-05	0.050500398173480156	575469	6335	-158.21180725097656
50.0	-50.0	81.0	-81.0	2546	13300	6.257908684866769e-05	0.05049489302518029	576334	6335	-158.38766479492188
50.0	-50.0	100.0	-100.0	2549	13320	6.141880969027499e-05	0.05048961977890211	577171	6335	-159.0574493408203
35.0	-0.94	80.0	-79.8	2552	13340	4.562030489119454e-05	0.05048403350448655	578069	6336	-161.3067169189453
50.0	-50.0	93.0	-93.0	2557	13360	6.412792348576163e-05	0.05047884604112345	578911	6336	-161.181396484375
50.0	-50.0	100.0	-100.0	2564	13380	6.2809788770918e-05	0.05047382669310017	579734	6336	-161.22413635253906
5.0	-0.6	64.0	-63.0	2572	13400	6.9653454111583195e-06	0.05046895374013106	580541	6336	-165.5087127685547
50.0	-50.0	74.0	-73.6	2577	13420	6.431522383597498e-05	0.05046415991092465	581343	6336	-165.0915069580078
29.0	-0.93	66.0	-65.6	2583	13440	3.670807040873028e-05	0.05045941508612207	582145	6336	-164.99606323242188
50.0	-50.0	56.0	-54.6	2586	13460	6.320421621314129e-05	0.05045445737664761	582993	6336	-164.90371704101562
50.0	-50.0	100.0	-100.0	2589	13480	6.030950065182649e-05	0.05044938461672394	583871	6336	-164.28216552734375
1.0	1.0	47.0	-46.0	2590	13500	1.6380416022406685e-06	0.05044407418351582	584802	6336	-163.8905792236328
50.0	-50.0	57.0	-56.0	2592	13520	6.284890090220073e-05	0.050438821019052116	585734	6337	-165.45223999023438
50.0	-50.0	86.0	-85.4	2593	13540	6.229331609593536e-05	0.050433483671336134	586693	6337	-165.14175415039062
50.0	-50.0	85.0	-84.4	2595	13560	6.49443594052025e-05	0.050428387914960585	587619	6337	-165.4764404296875
50.0	-50.0	100.0	-100.0	2600	13580	6.004543824118613e-05	0.050423802111644836	588460	6337	-165.1525115966797
50.0	-50.0	100.0	-100.0	2604	13600	6.152549210716696e-05	0.0504191920333724	589315	6337	-165.1542205810547
50.0	-50.0	100.0	-100.0	2609	13620	5.981158930124515e-05	0.05041473058990368	590151	6337	-160.7385711669922
50.0	-50.0	100.0	-100.0	2615	13640	6.180332203414783e-05	0.05041042435164636	590966	6337	-160.96449279785156
15.0	-0.87	81.0	-80.2	2624	13660	1.8520725244658933e-05	0.05040675727371796	591664	6337	-161.3718719482422
48.0	-0.96	100.0	-100.0	2629	13680	5.96449737660369e-05	0.050402458356126625	592494	6337	-162.18763732910156
37.0	-0.95	95.0	-95.0	2632	13700	4.746858220900932e-05	0.05039771239898904	593423	6338	-168.46983337402344
50.0	-50.0	67.0	-66.6	2635	13720	6.148514525188302e-05	0.05039296345922158	594364	6338	-163.4994354248047
50.0	-50.0	87.0	-86.8	2640	13740	6.0729532783208455e-05	0.05038861111082474	595235	6338	-168.19248962402344
50.0	-50.0	100.0	-100.0	2641	13760	6.212486430656079e-05	0.05038386047049318	596199	6338	-167.37486267089844
